Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Série A ,25,16/09/12,Away,Santos FC,Coritiba Foot Ball Club,1:2,CF,71',1:1,Solo run,Bernardo
Série A ,25,16/09/12,Away,Santos FC,Coritiba Foot Ball Club,1:2,CF,83',1:2,Tap-in,Pato Rodríguez
Recopa Sudamericana ,Finale,27/09/12,Home,Santos FC,Club Universidad de Chile,2:0,CF,28',1:0,Right-footed shot,André Felipe
Série A ,31,17/10/12,Home,Santos FC,Clube Atlético Mineiro,2:2,CF,11',2:0,Solo run,Not Applicable
Série A ,34,03/11/12,Away,Santos FC,Cruzeiro Esporte Clube,0:4,CF,12',0:1,Right-footed shot,Arouca
Série A ,34,03/11/12,Away,Santos FC,Cruzeiro Esporte Clube,0:4,CF,36',0:2,Right-footed shot,André Felipe
Série A ,34,03/11/12,Away,Santos FC,Cruzeiro Esporte Clube,0:4,CF,82',0:4,Right-footed shot,Ezequiel Miralles
Série A ,38,01/12/12,Home,Santos FC,Sociedade Esportiva Palmeiras,3:1,CF,23',2:1,Penalty,Not Applicable
Série A ,38,01/12/12,Home,Santos FC,Sociedade Esportiva Palmeiras,3:1,CF,39',3:1,Right-footed shot,Pato Rodríguez
Campeonato Paulista ,1,20/01/13,Away,Santos FC,São Bernardo FC,1:3,Not Applicable,20',0:1,Not reported,Not Applicable
Campeonato Paulista ,1,20/01/13,Away,Santos FC,São Bernardo FC,1:3,Not Applicable,90'+2,1:3,Penalty,Not Applicable
Campeonato Paulista ,2,24/01/13,Home,Santos FC,Botafogo FC,3:0,Not Applicable,41',2:0,Not reported,Not Applicable
Campeonato Paulista ,3,28/01/13,Away,Santos FC,Clube Atlético Bragantino (SP),2:2,Not Applicable,90'+1,2:2,Penalty,Not Applicable
Campeonato Paulista ,5,03/02/13,Home,Santos FC,São Paulo Futebol Clube,3:1,Not Applicable,49',2:0,Penalty,Not Applicable
Campeonato Paulista ,7,10/02/13,Home,Santos FC,Paulista FC (SP),1:3,Not Applicable,90',1:3,Not reported,Not Applicable
Campeonato Paulista ,16,31/03/13,Away,Santos FC,Oeste FC,1:2,Not Applicable,67',0:1,Not reported,Not Applicable
Campeonato Paulista ,17,05/04/13,Home,Santos FC,AD São Caetano (SP),1:1,Not Applicable,53',1:1,Not reported,Not Applicable
Campeonato Paulista ,18,13/04/13,Away,Santos FC,União Barbarense FC (SP),0:4,Not Applicable,8',0:1,Not reported,Not Applicable
Campeonato Paulista ,18,13/04/13,Away,Santos FC,União Barbarense FC (SP),0:4,Not Applicable,27',0:2,Not reported,Not Applicable
Campeonato Paulista ,18,13/04/13,Away,Santos FC,União Barbarense FC (SP),0:4,Not Applicable,46',0:3,Not reported,Not Applicable
Campeonato Paulista ,18,13/04/13,Away,Santos FC,União Barbarense FC (SP),0:4,Not Applicable,51',0:4,Not reported,Not Applicable
Copa do Brasil ,1.Runde,17/04/13,Home,Santos FC,EC Flamengo,2:0,Not Applicable,85',2:0,Not reported,Not Applicable
Supercopa ,Finale,21/08/13,Away,FC Barcelona,Atlético de Madrid,1:1,Not Applicable,66',1:1,Header,Dani Alves
LaLiga ,6,24/09/13,Home,FC Barcelona,Real Sociedad,4:1,LW,5',1:0,Left-footed shot,Alexis Sánchez
LaLiga ,8,05/10/13,Home,FC Barcelona,Real Valladolid CF,4:1,CF,70',4:1,Right-footed shot,Alexis Sánchez
LaLiga ,10,26/10/13,Home,FC Barcelona,Real Madrid,2:1,LW,19',1:0,Right-footed shot,Andrés Iniesta
